"Arghanj Khaw",Badakhshan
Argo,Badakhshan
Baharak,Badakhshan
Darayim,Badakhshan
Darwaz,Badakhshan
Darwazbala,Badakhshan
Fayzabad,Badakhshan
Ishkashiem,Badakhshan
Jurm,Badakhshan
Khash,Badakhshan
Khwahan,Badakhshan
Kishim,Badakhshan
Kohistan,Badakhshan
"Kuf Ab",Badakhshan
"Kuran Wa Munjan",Badakhshan
Raghistan,Badakhshan
Shahada,Badakhshan
"Shahri Buzurg",Badakhshan
Shaki,Badakhshan
Shighnan,Badakhshan
"Tagab (Kishmi Bala)",Badakhshan
Tashkan,Badakhshan
Wakhan,Badakhshan
Warduj,Badakhshan
"Yaftal Sufla",Badakhshan
"Yamgan (Girwan)",Badakhshan
Yawan,Badakhshan
Zebak,Badakhshan
"Ab Kamari",Badghis
"Bala Murghab",Badghis
Ghormach,Badghis
Jawand,Badghis
Muqur,Badghis
Qadis,Badghis
"Qala-I- Naw",Badghis
Andarab,Baghlan
"Baghlani Jadid",Baghlan
Burka,Baghlan
"Dahana-I- Ghuri",Baghlan
"Dih Salah",Baghlan
Dushi,Baghlan
"Farang Wa Gharu",Baghlan
"Guzargahi Nur",Baghlan
Khinjan,Baghlan
"Khost Wa Firing",Baghlan
"Khwaja Hijran (Jilga Nahrin)",Baghlan
Nahrin,Baghlan
"Puli Hisar",Baghlan
"Puli Khumri",Baghlan
"Tala Wa Barfak",Baghlan
Balkh,Balkh
"Chahar Bolak",Balkh
"Chahar Kint",Balkh
Chimtal,Balkh
Dawlatabad,Balkh
Dihdadi,Balkh
Kaldar,Balkh
Khulm,Balkh
Kishindih,Balkh
Marmul,Balkh
"Mazari Sharif",Balkh
"Nahri Shahi",Balkh
"Sharak Hairatan",Balkh
Sholgara,Balkh
Shortepa,Balkh
Zari,Balkh
Bamyan,Bamyan
Kahmard,Bamyan
Panjab,Bamyan
Sayghan,Bamyan
Shibar,Bamyan
Waras,Bamyan
Yakawlang,Bamyan
Gaiti,Daykundi
Gizab,Daykundi
Ishtarlay,Daykundi
Kajran,Daykundi
Khadir,Daykundi
Miramor,Daykundi
Nili,Daykundi
"Sangi Takht",Daykundi
Shahristan,Daykundi
"Anar Dara",Farah
Bakwa,Farah
"Bala Buluk",Farah
Farah,Farah
Gulistan,Farah
"Khaki Safed",Farah
"Lash Wa Juwayn",Farah
"Pur Chaman",Farah
"Pusht Rod",Farah
"Qala Ka",Farah
"Shib Koh",Farah
Almar,Faryab
Andkhoy,Faryab
Bilchiragh,Faryab
Dawlatabad,Faryab
Gurziwan,Faryab
"Khani Chahar Bagh",Faryab
"Khwaja Sabz Posh",Faryab
Kohistan,Faryab
Maymana,Faryab
"Pashtun Kot",Faryab
Qaramqol,Faryab
Qaysar,Faryab
Qurghan,Faryab
"Shirin Tagab",Faryab
"Ab Band",Ghazni
Ajristan,Ghazni
Andar,Ghazni
"Bahrami Shahid (Jaghatu)",Ghazni
"Dih Yak",Ghazni
Gelan,Ghazni
Ghazni,Ghazni
Giro,Ghazni
Jaghuri,Ghazni
"Khwaja Umari",Ghazni
Malistan,Ghazni
Muqur,Ghazni
Nawa,Ghazni
Nawur,Ghazni
Qarabagh,Ghazni
Rashidan,Ghazni
Waghaz,Ghazni
"Wali Muhammadi Shahid",Ghazni
"Zana Khan",Ghazni
Chaghcharan,Ghor
Charsada,Ghor
"Dawlat Yar",Ghor
"Du Layna",Ghor
"Lal Wa Sarjangal",Ghor
Pasaband,Ghor
Saghar,Ghor
Shahrak,Ghor
Taywara,Ghor
Tulak,Ghor
Baghran,Hilmand
Dishu,Hilmand
Garmser,Hilmand
Kajaki,Hilmand
"Lashkar Gah",Hilmand
"Musa Qala",Hilmand
"Nad Ali",Hilmand
"Nahri Sarraj",Hilmand
"Naw Zad",Hilmand
"Nawa-I- Barak Zayi",Hilmand
Reg(Khanshin),Hilmand
Sangin,Hilmand
Washer,Hilmand
Adraskan,Hirat
"Chishti Sharif",Hirat
Farsi,Hirat
Ghoryan,Hirat
Gulran,Hirat
Guzara,Hirat
Hirat,Hirat
Injil,Hirat
Karukh,Hirat
Kohsan,Hirat
Koshk,Hirat
"Koshki Kohna",Hirat
Obe,Hirat
"Pashtun Zarghun",Hirat
"Zanda jan",Hirat
Shindand,Hirat
Aqcha,Jawzjan
Darzab,Jawzjan
Fayzabad,Jawzjan
"Kham Ab",Jawzjan
Khaniqa,Jawzjan
"Khwaja Du Koh",Jawzjan
Mangajek,Jawzjan
Mardyan,Jawzjan
Qarqin,Jawzjan
"Qush Tepa",Jawzjan
Shibirghan,Jawzjan
Bagrami,Kabul
"Chahar Asyab",Kabul
"Dih Sabz",Kabul
Farza,Kabul
Guldara,Kabul
Istalif,Kabul
Kabul,Kabul
Kalakan,Kabul
"Khaki Jabbar",Kabul
"Mir Bacha Kot",Kabul
Musayi,Kabul
Paghman,Kabul
Qarabagh,Kabul
Shakardara,Kabul
Surobi,Kabul
Arghandab,Kandahar
Arghistan,Kandahar
Daman,Kandahar
Ghorak,Kandahar
Kandahar,Kandahar
Khakrez,Kandahar
Maruf,Kandahar
Maywand,Kandahar
"Miya Nishin",Kandahar
Nesh,Kandahar
Panjwayi,Kandahar
Registan,Kandahar
"Shah Wali Kot",Kandahar
Shorabak,Kandahar
"Spin Boldak",Kandahar
Zhari,Kandahar
Alasay,Kapisa
"Hisa-i-Awali Kohistan",Kapisa
"Hisa-i-Duwumi Kohistan",Kapisa
"Koh Band",Kapisa
"Mahmudi Raqi",Kapisa
Nijrab,Kapisa
Tagab,Kapisa
Bak,Khost
Gurbuz,Khost
"Jaji Maidan",Khost
Khost(Matun),Khost
"Mando Zayi",Khost
"Mosa Khail",Khost
"Nadir Shah Kot",Khost
Qalandar,Khost
Sabri,Khost
Shamal,Khost
Spira,Khost
Tani,Khost
"Tere Zayi",Khost
Asadabad,Kunar
"Bar Kunar",Kunar
"Chapa Dara",Kunar
Chawkay,Kunar
Dangam,Kunar
Dara-I-Pech,Kunar
Ghaziabad,Kunar
"Khas Kunar",Kunar
Marawara,Kunar
Narang,Kunar
Nari,Kunar
Nurgal,Kunar
Sarkani,Kunar
"Shaygal wa shital",Kunar
"Wata Pur",Kunar
Aliabad,Kunduz
"Chahar Dara",Kunduz
"Dashte Archi",Kunduz
"Imam Sahib",Kunduz
Khanabad,Kunduz
Kunduz,Kunduz
"Qalay-I- Zal",Kunduz
Alingar,Laghman
Alishing,Laghman
Daulatshahi,Laghman
Mihtarlam,Laghman
Qarghayi,Laghman
Azra,Logar
"Baraki Barak",Logar
Charkh,Logar
Kharwar,Logar
Khoshi,Logar
"Mohammad Agha",Logar
"Puli Alam",Logar
"Chaki Wardak","Maydan Wardak"
"Day Mirdad","Maydan Wardak"
"Hisa-I- Awali Bihsud","Maydan Wardak"
Jaghatu,"Maydan Wardak"
Jalrez,"Maydan Wardak"
"Markazi Bihsud","Maydan Wardak"
"Maydan Shahr","Maydan Wardak"
Nirkh,"Maydan Wardak"
Saydabad,"Maydan Wardak"
Acheen,Nangarhar
"Bati Kot",Nangarhar
Bihsud,Nangarhar
Chaparhar,Nangarhar
Dara-I-Nur,Nangarhar
"Deh Bala",Nangarhar
"Dur Baba",Nangarhar
Goshta,Nangarhar
Hesarak,Nangarhar
Jalalabad,Nangarhar
Kama,Nangarhar
Khogayani,Nangarhar
Kot,Nangarhar
"Kuz Kunar",Nangarhar
"Lal Por",Nangarhar
"Muhmand Dara",Nangarhar
Nazyan,Nangarhar
"Pachier Agam",Nangarhar
Rodat,Nangarhar
Shinwar,Nangarhar
Shirzad,Nangarhar
"Surkh Rod",Nangarhar
"Chahar Burjak",Nimroz
Chakhansur,Nimroz
Dilaram,Nimroz
Kang,Nimroz
"Khash Rod",Nimroz
Zaranj,Nimroz
"Bargi Matal",Nuristan
"Du Ab",Nuristan
Kamdesh,Nuristan
Mandol,Nuristan
Nurgaram,Nuristan
Parun,Nuristan
Wama,Nuristan
Waygal,Nuristan
Barmal,Paktika
Dila,Paktika
Gayan,Paktika
Gomal,Paktika
"Jani Khel",Paktika
"Mata Khan",Paktika
Nika,Paktika
Omna,Paktika
"Sar Hawza",Paktika
Sarobi,Paktika
Sharan,Paktika
Turwo,Paktika
Urgun,Paktika
"Waza Khwa",Paktika
"Wor Mayi",Paktika
"Yahya Khel",Paktika
"Yosuf Khel",Paktika
"Zarghun Shahr",Paktika
Ziruk,Paktika
"Ahmad Abad",Paktya
"Ali Khail (Jaji)",Paktya
Chamkani,Paktya
"Dand Patan",Paktya
Gardiz,Paktya
"Jani Khail",Paktya
"Laja Ahmad Khail",Paktya
"Sayed Karam",Paktya
Shawak,Paktya
Zadran,Paktya
Zurmat,Paktya
Bazarak,Panjsher
Dara,Panjsher
"Khenj (Hese- Awal)",Panjsher
Paryan,Panjsher
Rukha,Panjsher
Shutul,Panjsher
Unaba,Panjsher
Bagram,Parwan
Chaharikar,Parwan
Jabalussaraj,Parwan
"Kohi Safi",Parwan
Salang,Parwan
"Sayd Khel",Parwan
"Shekh  Ali",Parwan
Shinwari,Parwan
"Sia Gird ( Ghorbund)",Parwan
"Surkhi Parsa",Parwan
Aybak,Samangan
"Dara-I-Sufi Bala",Samangan
"Dara-I-Sufi Payin",Samangan
"Feroz Nakhchir",Samangan
"Hazrati Sultan",Samangan
"Khuram Wa Sarbagh",Samangan
"Ruyi Du Ab",Samangan
Balkhab,"Sari Pul"
Gosfandi,"Sari Pul"
Kohistanat,"Sari Pul"
Sangcharak,"Sari Pul"
"Sari Pul","Sari Pul"
Sayyad,"Sari Pul"
"Sozma Qala","Sari Pul"
Baharak,Takhar
Bangi,Takhar
"Chah Ab",Takhar
Chal,Takhar
Darqad,Takhar
"Dashti Qala",Takhar
Farkhar,Takhar
"Hazar Sumuch",Takhar
Ishkamish,Takhar
Kalfagan,Takhar
"Khwaja Bahawuddin",Takhar
"Khwaja Ghar",Takhar
"Namak Ab",Takhar
Rustaq,Takhar
Taluqan,Takhar
Warsaj,Takhar
"Yangi Qala",Takhar
Chora,Uruzgan
Dihrawud,Uruzgan
"Khas Uruzgan",Uruzgan
"Shahidi Hassas",Uruzgan
"Tirin Kot",Uruzgan
Arghandab,Zabul
Atghar,Zabul
Daychopan,Zabul
Kakar,Zabul
Mizan,Zabul
"Naw Bahar",Zabul
Qalat,Zabul
Shahjoy,Zabul
Shamulzayi,Zabul
Shinkay,Zabul
"Tarnak Wa Jaldak",Zabul